"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
<<<<<<< HEAD
"","2192","login-0_用户登录接口","data.test_cases","2025-10-14","passed","2025-10-14","","login","",""
"","249","user_info-0_获取用户服务信息","data.test_cases","2025-10-14","passed","2025-10-14","","user_info","",""
=======
"测试用户登录成功","865","User API (用户管理)_login(用户登陆).yaml-0_用户登录接口","data.test_cases.User API (用户管理)","2025-12-01","passed","2025-12-01","","login(用户登陆)","",""
"获取实况天气、24小时天气、7天天气","224","Weather API (和天气相关接口)_AppV3_weather_all 获取实况天气、24小时天气、7天天气.yaml-0_/AppV3/weather/all 获取实况天气、24小时天气、7天天气","data.test_cases.Weather API (和天气相关接口)","2025-12-01","passed","2025-12-01","","AppV3_weather_all 获取实况天气、24小时天气、7天天气","",""
"实况天气","163","Weather API (和天气相关接口)__AppV3_weather_now 实况天气.yaml-0_/AppV3/weather/now 实况天气","data.test_cases.Weather API (和天气相关接口)","2025-12-01","passed","2025-12-01","","_AppV3_weather_now 实况天气","",""
"测试用户登录失败","573","User API (用户管理)_login(用户登陆).yaml-1_用户登录接口","data.test_cases.User API (用户管理)","2025-12-01","passed","2025-12-01","","login(用户登陆)","",""
>>>>>>> 8b8af3e (添加本地新代码和修改)
